reference,year,country_name,hdi_category,indicator_name,values
,,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.2 [2.6–3.8]
,,India,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.9 [0.5–1.5]
,,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.4]
,,Cambodia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.6 [0.9–2.6]
,,Myanmar,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.3 [0.7–2.0]
,,Bhutan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Comoros,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Ghana,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.3 [1.9–2.6]
,,Pakistan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Mauritania,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.7 [0.4–2.8]
,,Lesotho,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,23.2 [21.9–24.7]
,,Congo,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,5.3 [3.3–7.5]
,,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1  [<0.2]
,,Swaziland,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,33.4 [21.2–45.3]
,,Nepal,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.3–1.3]
,,Madagascar,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.2–1.2]
,,Cameroon,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,5.4 [4.9–5.9]
,,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.8 [0.9–4.4]
,,Haiti,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.8 [2.2–5.4]
,,Sudan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.6 [0.8–2.7]
,,Kenya,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,6.1 [5.2–7.0]
,,Djibouti,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.1 [0.8–6.9]
,,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,20.1 [13.3–27.6]
,,Togo,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.2  [1.9–4.7]
,,Yemen,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Uganda,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,6.7 [5.7–7.6]
,,Gambia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.4 [1.2–4.1]
,,Senegal,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.9 [0.4–1.5]
,,Eritrea,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.4 [1.3–3.9]
,,Nigeria,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.9 [2.3–5.6]
,,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,6.5 [5.8–7.2]
,,Guinea,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.5 [1.2–1.8]
,,Rwanda,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.1 [2.9–3.2]
,,Angola,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.7 [2.3–5.3]
,,Benin,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.8 [1.2–2.5]
,,Malawi,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,14.1 [6.9–21.4]
,,Zambia,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,17 [15.9–18.1]
,,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,7.1 [4.3–9.7]
,,Burundi,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.3 [2.7–3.8]
,,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.2 [1.8–4.9]
,,Ethiopia,LOW HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [0.9–3.5]
,,Chad,,HIV prevalencea (% aged 15-49) 2006,3.5 [1.7–6.0]
,,Central African Republic,,HIV prevalencea (% aged 15-49) 2006,10.7 [4.5–17.2]
,,Mozambique,,HIV prevalencea (% aged 15-49) 2006,16.1 [12.5–20.0]
,,Mali,,HIV prevalencea (% aged 15-49) 2006,1.7 [1.3–2.1]
,,Niger,,HIV prevalencea (% aged 15-49) 2006,1.1 [0.5–1.9]
,,Guinea-Bissau,,HIV prevalencea (% aged 15-49) 2006,3.8 [2.1–6.0]
,,Burkina Faso,,HIV prevalencea (% aged 15-49) 2006,2 [1.5–2.5]
,,Sierra Leone,,HIV prevalencea (% aged 15-49) 2006,1.6 [0.9–2.4]
,,Iceland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Norway,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Australia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Canada,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Ireland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Sweden,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Switzerland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Japan,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Netherlands,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,France,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Finland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,United States,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Spain,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Denmark,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Austria,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,United Kingdom,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Belgium,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Luxembourg,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,New Zealand,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Italy,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Germany,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Israel,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Greece,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Singapore,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Slovenia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Cyprus,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Portugal,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Barbados,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Czech Republic,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Kuwait,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Malta,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Qatar,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Hungary,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Poland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Argentina,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Chile,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bahrain,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Slovakia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Lithuania,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Estonia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Latvia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Uruguay,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Croatia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Costa Rica,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bahamas,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Seychelles,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Cuba,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Mexico,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bulgaria,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Tonga,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Oman,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Romania,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Panama,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Malaysia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Belarus,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Mauritius,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Russian Federation,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Albania,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Brazil,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Dominica,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,32
,,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Colombia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,30
,,Ukraine,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Samoa,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Thailand,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,29
,,Belize,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005, 
,,China,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Grenada,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Armenia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Turkey,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Suriname,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Jordan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Peru,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,19
,,Lebanon,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Ecuador,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Philippines,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Tunisia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Fiji,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Paraguay,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Georgia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Guyana,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Maldives,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Jamaica,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,El Salvador,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Algeria,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Indonesia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,17
,,Moldova,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,44
,,Egypt,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Mongolia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Honduras,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bolivia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,20
,,Guatemala,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Gabon,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,33
,,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,South Africa,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,20
,,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Botswana,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,75
,,Namibia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,48
,,Morocco,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,India,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,51
,,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Cambodia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Myanmar,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Bhutan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Comoros,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Ghana,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,33
,,Pakistan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Mauritania,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Lesotho,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,50
,,Congo,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,20
,,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Swaziland,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Nepal,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Madagascar,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,5
,,Cameroon,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,46
,,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Haiti,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,19
,,Sudan,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Kenya,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,25
,,Djibouti,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,42
,,Togo,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,22
,,Yemen,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Uganda,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,53
,,Gambia,MEDIUM HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Senegal,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,36
,,Eritrea,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Nigeria,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,24
,,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,42
,,Guinea,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,17
,,Rwanda,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,26
,,Angola,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Benin,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,19
,,Malawi,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,35
,,Zambia,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,35
,,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,25
,,Burundi,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,..
,,Ethiopia,LOW HUMAN DEVELOPMENT,Condom use at last high-risk sex Women 1999-2005,17
,,Chad,,Condom use at last high-risk sex Women 1999-2005,17
,,Central African Republic,,Condom use at last high-risk sex Women 1999-2005,..
,,Mozambique,,Condom use at last high-risk sex Women 1999-2005,29
,,Mali,,Condom use at last high-risk sex Women 1999-2005,14
,,Niger,,Condom use at last high-risk sex Women 1999-2005,7
,,Guinea-Bissau,,Condom use at last high-risk sex Women 1999-2005,..
,,Burkina Faso,,Condom use at last high-risk sex Women 1999-2005,54
,,Sierra Leone,,Condom use at last high-risk sex Women 1999-2005,..
,,Iceland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Norway,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Australia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Canada,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Ireland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Sweden,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Switzerland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Japan,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Netherlands,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,France,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Finland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,United States,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Spain,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Denmark,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Austria,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,United Kingdom,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Belgium,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Luxembourg,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,New Zealand,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Italy,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Germany,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Israel,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Greece,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Singapore,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Slovenia,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Cyprus,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Portugal,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Barbados,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Czech Republic,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Kuwait,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Malta,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Qatar,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Hungary,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Poland,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Argentina,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
,,Chile,HIGH HUMAN DEVELOPMENT,Condom use at last high-risk sex Men 1999-2005,..
